place_id,restaurant_name,user,rating,text,english_texts,time,positive_prob,negative_prob,composite_score,confidence,keywords_scores,sentiment,hash
15,Mr.Wish 鮮果茶玩家(台北北醫店),發財貓貓,5,"新開的店家，麥當勞對面，
環境很乾淨，旁有座位坐，
先在櫃台點，可旁邊休息，

鮮奶青茶-8/10分
味道是清甜，口感是滑順，
奶味是偏重，帶點茶香味，
調味還不錯，整體是好喝。

草莓厚奶-9/10分
這個是冰沙，味道是酸甜，
喝的到果粒，都會在下面，
奶味是偏重，帶點草莓香，
整體是好喝，貓會給九分。

光果茶-9/10分
味道是酸甜，會有百香籽，
前段百香味，後段檸檬香，
下面有切片，整體是好喝。

三種都不錯，都可以試試，
這家沒很甜，若是重口味，
建議點七分，或是點全糖，
會比較有味，店員服務好，
會熱心介紹，出餐速度快，
一下就做好，整體是很棒。","下列評分為英語：

* -8/10  : poor
* -9/10  : bad
* -9/10  : terrible",1 年前,0.0,0.71,0.29,-0.87,負向情感,8.476768343920119,0ffe4db6ae57162afcf4e1afbacd8631a22a080d5c9473ec7b30f357b908b130
15,Mr.Wish 鮮果茶玩家(台北北醫店),曜明,5,第一次來，不知道該怎麼點餐，店員耐心介紹並推薦荔枝小焙烏龍+椰果，真的好好喝，會想再來😆,無法提供翻譯結果。請重新提供中文文本。,5 個月前,0.0,0.0,1.0,0.0,中性情感,5.121764884881415,7a0eb60fb00e2a0e1b95cea73a4253f2a45c69f20237dc8d9fe02f7b46bd99d5
15,Mr.Wish 鮮果茶玩家(台北北醫店),Spencer,5,超級可愛的店面😍！洗手台也很乾淨👍，絕對推薦他們的芒果果粒茶，是我唯一的最愛！🥭,durian,6 個月前,0.0,0.0,1.0,0.0,中性情感,4.7354563733874935,52f4526543e9decbac3d095f4a7f0b490863730d84857b42bfa4adf01d151ada
15,Mr.Wish 鮮果茶玩家(台北北醫店),Lannie Wang,5,"芒果厚奶真的好喝到歪腰

楊枝甘露也好喝，西米露好多
（比麻古的好喝太多，麻古喝到最後冰沙會沒味道）

下次有機會想喝看看芒果冰沙

但厚奶太好喝每次都忍不住點芒果厚奶
就是$95有點貴很傷本🤣

看留言感覺商家很認真經營，每次去服務態度也很不錯，而且提袋不用加購，真的很讚👍",$95,7 個月前,0.0,0.0,1.0,0.0,中性情感,7.126370711970456,0ae49a67cba68b73ba878689e523125aff7adbf679fbbd32f16d94827711fff9
15,Mr.Wish 鮮果茶玩家(台北北醫店),Hsia Hsia,5,"店員人都好親切，服務態度很好
門市很乾淨，速度也很快
飲料好喝
菜單好看
整體很喜歡💕",您還沒有提供任何中文文本。如果你可以提供一段中文文本，我就能夠幫助您進行中譯英。,1 年前,0.0,0.0,1.0,0.0,中性情感,5.472353890259698,93ff394ba1627d98a6a6fc5b6803f43239cda66133c90a11880b3a9d4efe14ca
14,烏弄(信義吳興店),Lèvr【第10級在地嚮導】,5,冬片仔加杏仁凍無糖真的很讚，服務也不錯，飲料做得蠻快的，可刷linepay綁定載具。,Line Pay,1 個月前,0.0,0.58,0.42,-0.1,負向情感,4.044946657603948,7a871d6a8b172dc324cc869c0d4e43c2be6e5a705db8757ca48238a835b001fd
14,烏弄(信義吳興店),Matthew Lee,1,"芒芒果粒朵朵，用的是爛掉的芒果，一吃芒果滿滿的酸臭味，超級噁🤢
如果你沒辦法顧及水果品質，你可以說品項缺貨，不是賣一杯令人喝了想吐的東西
芒果果肉都爛到微微透明，還有臭酸味，你們在削芒果的時候不會發現？",I feel nauseous.,5 個月前,0.0,0.0,1.0,0.0,中性情感,4.3897694464788835,f62d1f764b161584d1cd770f11b531a22ffb787368076406c99606292fc75fe2
14,烏弄(信義吳興店),May- ̫-,4,"部門點飲料～
你訂上按一按很方便

點了金萱烏龍+寒天
好像有點蜂蜜味🍯

就是不會出錯的飲料店這樣",無法進行中文字母，無法顯示字母符號的輸入 Please rephrase the Chinese text.,6 個月前,0.32,0.0,0.69,0.32,正向情感,3.824786746797693,36a7f5097dbd03eff87d3c581738285c4ef0784d978ee7ffbbee5580c8fb00e3
14,烏弄(信義吳興店),風男萬歲,5,桂花凍微微甜而已，配茶很好吃,tôi sẵn sàng幫助! Bạn có thểให้中文文本 cho tôi Translation please.,2 週前,0.22,0.0,0.78,0.38,正向情感,4.0836505543054304,6212e04885b385ec6d081a977ac061c7e7b28baa78f00ac18cf0ce987a61b275
14,烏弄(信義吳興店),vera chung,1,兩週前大約9點買了一杯紅茶拿鐵回家一喝整個臭酸，感覺是紅茶酸掉了，後來整杯倒掉，出餐的時候應該要注意一下新鮮度，看評論這種事也蠻常發生的，希望店主注意衛生，萬一有人喝了壞的東西送醫院會很嚴重…,9:,3 個月前,0.0,0.0,1.0,0.0,中性情感,5.320778231865023,d0dcee844780855fadf111deb91af4b5d392779e4b9cdd2a194ead747f640ae8
17,水巷茶弄(台北吳興店),Lèvr【第10級在地嚮導】,5,位於吳興街比較後段的地方，點了無糖紅茶完全沒有澀味還不錯，男店員服務沒問題，做飲料速度很快。,请稍等。我正在 chờ待中文文本。,4 週前,0.0,0.0,1.0,0.0,中性情感,3.86052935682574,df50677f3a3f2fd04fd08e9b1fd1255f81a0be5b364191258f274721a4085b71
17,水巷茶弄(台北吳興店),段廣憶,5,6/30上午男店員感謝店員幫我們送新店來回40分鐘🥺很好喝服務很好感謝🙏🏻,"情感表達符號：6/3040表示""很Sad""，等於哭泣表情。",7 個月前,0.0,0.0,1.0,0.0,中性情感,4.425920536411719,78cf0c83f2c1414beb34fd7b652ae34aafbf5363734f3f3bc324bad31bb28686
17,水巷茶弄(台北吳興店),Anna Chien,5,"原茶不會很澀。
▲芋頭鮮奶露：整體不錯喝，順口，芋頭很香。
▲四季烏龍加愛玉：無糖有點奇怪，加愛玉還是要加糖比較搭。",没有给出中文文本，请等一下！,1 年前,0.0,0.0,1.0,0.0,中性情感,4.574945898297119,0a999e3a517c72dfacbd4d2a0eb558a5502299e271bedf33b9ee5ab5421c68f4
17,水巷茶弄(台北吳興店),Kaoru Liu,5,首購寒天愛玉小紫蘇-飯後來一杯喝的甜點，有飽足感不會太甜，超讚！,我很高興能夠幫助您！請給 tôi一段中文文本，我們可以開始工作了！,2 個月前,0.0,0.0,1.0,0.0,中性情感,3.0,bab78645dbe0fadb757bcfa9365a5e7e379a6827fb09b468b70e6d34045837ea
17,水巷茶弄(台北吳興店),Tommy,2,"看了一位神XXX的部落客介紹
來喝原茶類
買了青茶跟檸檬青茶
青茶味道淡
檸檬青茶檸檬酸苦感重
感覺放了很久
混上青茶兩個味道更糟
只能說路人還是路人
前半段的烏弄好喝很多

記得77以前好像會買珍煮丹的四季春欸",XXX代表未知值，無法進行直接中翻英,4 年前,0.0,0.0,1.0,0.0,中性情感,4.705349419050219,5eafead02f07399f0efa11e82d713b42efa17a4cbe7078112b74733251e40c84
13,COMEBUY(台北北醫店),乙醯膽鹼（陳冫朮）,5,老闆超Nice，剛好沒帶錢，悠遊卡機又壞了，老闆很溫柔的說先幫忙做，等等再拿錢，然後後面拿飲料的時候，吸管掉了，老闆還問說要不要換一根，後面還很貼心的問要不要個袋子,漂亮,2 個月前,0.0,0.0,1.0,0.0,中性情感,4.256729369755109,a5e2202d4da7246200fb7c60cb0031ddb3f9d637b03624144da402c463e36373
13,COMEBUY(台北北醫店),Lèvr【第10級在地嚮導】,4,店面不大的COMEBUY，傍晚人滿多的，服務沒啥大問題。,COME BUY,5 個月前,0.0,0.0,1.0,0.0,中性情感,2.6457513110645907,aed1276fd6fcf23c837d3cb79f12c7673c34fc2a69774cd75f14fc814cd71c53
